# TEMPERATURE = 8.500000e+01
# FREQ WR(AV) WI(AV)
7.41310241301e+00 1.38189976880e+03 -4.56421706094e+00
7.58577575029e+00 1.38189905827e+03 -4.67052893204e+00
7.76247116629e+00 1.38189831426e+03 -4.77931695298e+00
7.94328234724e+00 1.38189753519e+03 -4.89063878840e+00
8.12830516164e+00 1.38189671940e+03 -5.00455344526e+00
8.31763771103e+00 1.38189586517e+03 -5.12112130404e+00
8.51138038202e+00 1.38189497068e+03 -5.24040415062e+00
8.70963589956e+00 1.38189403403e+03 -5.36246520901e+00
8.91250938134e+00 1.38189305324e+03 -5.48736917472e+00
9.12010839356e+00 1.38189202623e+03 -5.61518224898e+00
9.33254300797e+00 1.38189095083e+03 -5.74597217371e+00
9.54992586021e+00 1.38188982474e+03 -5.87980826731e+00
9.77237220956e+00 1.38188864558e+03 -6.01676146130e+00
1.00000000000e+01 1.38188741085e+03 -6.15690433777e+00
1.02329299228e+01 1.38188611793e+03 -6.30031116771e+00
1.04712854805e+01 1.38188476408e+03 -6.44705795022e+00
1.07151930524e+01 1.38188334643e+03 -6.59722245263e+00
1.09647819614e+01 1.38188186197e+03 -6.75088425156e+00
1.12201845430e+01 1.38188030756e+03 -6.90812477490e+00
1.14815362150e+01 1.38187867989e+03 -7.06902734474e+00
1.17489755494e+01 1.38187697551e+03 -7.23367722137e+00
1.20226443462e+01 1.38187519082e+03 -7.40216164818e+00
1.23026877081e+01 1.38187332202e+03 -7.57456989768e+00
1.25892541179e+01 1.38187136515e+03 -7.75099331855e+00
1.28824955169e+01 1.38186931606e+03 -7.93152538375e+00
1.31825673856e+01 1.38186717041e+03 -8.11626173975e+00
1.34896288259e+01 1.38186492365e+03 -8.30530025691e+00
1.38038426460e+01 1.38186257100e+03 -8.49874108098e+00
1.41253754462e+01 1.38186010749e+03 -8.69668668579e+00
1.44543977075e+01 1.38185752789e+03 -8.89924192716e+00
1.47910838817e+01 1.38185482672e+03 -9.10651409801e+00
1.51356124844e+01 1.38185199826e+03 -9.31861298478e+00
1.54881661891e+01 1.38184903651e+03 -9.53565092508e+00
1.58489319246e+01 1.38184593520e+03 -9.75774286669e+00
1.62181009736e+01 1.38184268773e+03 -9.98500642789e+00
1.65958690744e+01 1.38183928724e+03 -1.02175619592e+01
1.69824365246e+01 1.38183572651e+03 -1.04555326063e+01
1.73780082875e+01 1.38183199798e+03 -1.06990443750e+01
1.77827941004e+01 1.38182809375e+03 -1.09482261967e+01
1.81970085861e+01 1.38182400555e+03 -1.12032099964e+01
1.86208713666e+01 1.38181972470e+03 -1.14641307611e+01
1.90546071796e+01 1.38181524212e+03 -1.17311266112e+01
1.94984459976e+01 1.38181054833e+03 -1.20043388718e+01
1.99526231497e+01 1.38180563335e+03 -1.22839121472e+01
2.04173794467e+01 1.38180048678e+03 -1.25699943958e+01
2.08929613085e+01 1.38179509770e+03 -1.28627370078e+01
2.13796208950e+01 1.38178945468e+03 -1.31622948834e+01
2.18776162395e+01 1.38178354577e+03 -1.34688265140e+01
2.23872113857e+01 1.38177735843e+03 -1.37824940644e+01
2.29086765277e+01 1.38177087955e+03 -1.41034634570e+01
2.34422881532e+01 1.38176409539e+03 -1.44319044579e+01
2.39883291902e+01 1.38175699158e+03 -1.47679907650e+01
2.45470891569e+01 1.38174955306e+03 -1.51119000982e+01
2.51188643151e+01 1.38174176405e+03 -1.54638142908e+01
2.57039578277e+01 1.38173360805e+03 -1.58239193840e+01
2.63026799190e+01 1.38172506778e+03 -1.61924057228e+01
2.69153480393e+01 1.38171612513e+03 -1.65694680537e+01
2.75422870334e+01 1.38170676115e+03 -1.69553056256e+01
2.81838293126e+01 1.38169695599e+03 -1.73501222919e+01
2.88403150313e+01 1.38168668888e+03 -1.77541266149e+01
2.95120922667e+01 1.38167593806e+03 -1.81675319734e+01
3.01995172040e+01 1.38166468075e+03 -1.85905566709e+01
3.09029543251e+01 1.38165289310e+03 -1.90234240482e+01
3.16227766017e+01 1.38164055012e+03 -1.94663625962e+01
3.23593656930e+01 1.38162762568e+03 -1.99196060731e+01
3.31131121483e+01 1.38161409238e+03 -2.03833936225e+01
3.38844156139e+01 1.38159992157e+03 -2.08579698949e+01
3.46736850453e+01 1.38158508321e+03 -2.13435851715e+01
3.54813389234e+01 1.38156954589e+03 -2.18404954902e+01
3.63078054770e+01 1.38155327669e+03 -2.23489627748e+01
3.71535229097e+01 1.38153624116e+03 -2.28692549662e+01
3.80189396321e+01 1.38151840321e+03 -2.34016461569e+01
3.89045144994e+01 1.38149972509e+03 -2.39464167278e+01
