# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
3.89045144994e+00 -3.32079647532e-01 2.04937223453e-03
3.98107170553e+00 -3.32079484247e-01 2.09710796375e-03
4.07380277804e+00 -3.32079313267e-01 2.14595558075e-03
4.16869383470e+00 -3.32079134229e-01 2.19594098327e-03
4.26579518802e+00 -3.32078946753e-01 2.24709067219e-03
4.36515832240e+00 -3.32078750441e-01 2.29943176558e-03
4.46683592151e+00 -3.32078544878e-01 2.35299201302e-03
4.57088189615e+00 -3.32078329627e-01 2.40779981036e-03
4.67735141287e+00 -3.32078104232e-01 2.46388421474e-03
4.78630092323e+00 -3.32077868214e-01 2.52127495995e-03
4.89778819368e+00 -3.32077621073e-01 2.58000247225e-03
5.01187233627e+00 -3.32077362284e-01 2.64009788642e-03
5.12861383991e+00 -3.32077091300e-01 2.70159306232e-03
5.24807460250e+00 -3.32076807544e-01 2.76452060169e-03
5.37031796370e+00 -3.32076510416e-01 2.82891386548e-03
5.49540873858e+00 -3.32076199284e-01 2.89480699148e-03
5.62341325190e+00 -3.32075873490e-01 2.96223491244e-03
5.75439937337e+00 -3.32075532341e-01 3.03123337451e-03
5.88843655356e+00 -3.32075175116e-01 3.10183895623e-03
6.02559586074e+00 -3.32074801054e-01 3.17408908786e-03
6.16595001861e+00 -3.32074409364e-01 3.24802207121e-03
6.30957344480e+00 -3.32073999215e-01 3.32367709994e-03
6.45654229035e+00 -3.32073569735e-01 3.40109428025e-03
6.60693448008e+00 -3.32073120016e-01 3.48031465219e-03
6.76082975392e+00 -3.32072649102e-01 3.56138021132e-03
6.91830970919e+00 -3.32072155995e-01 3.64433393097e-03
7.07945784384e+00 -3.32071639650e-01 3.72921978497e-03
7.24435960075e+00 -3.32071098970e-01 3.81608277093e-03
7.41310241301e+00 -3.32070532809e-01 3.90496893405e-03
7.58577575029e+00 -3.32069939966e-01 3.99592539147e-03
7.76247116629e+00 -3.32069319184e-01 4.08900035723e-03
