# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
4.07380277804e+00 1.56324007196e+03 -2.76817479592e+00
4.16869383470e+00 1.56323984106e+03 -2.83265345190e+00
4.26579518802e+00 1.56323959928e+03 -2.89863397880e+00
4.36515832240e+00 1.56323934611e+03 -2.96615135756e+00
4.46683592151e+00 1.56323908100e+03 -3.03524138376e+00
4.57088189615e+00 1.56323880340e+03 -3.10594068661e+00
4.67735141287e+00 1.56323851272e+03 -3.17828674836e+00
4.78630092323e+00 1.56323820834e+03 -3.25231792411e+00
4.89778819368e+00 1.56323788961e+03 -3.32807346221e+00
5.01187233627e+00 1.56323755586e+03 -3.40559352496e+00
5.12861383991e+00 1.56323720638e+03 -3.48491920996e+00
5.24807460250e+00 1.56323684044e+03 -3.56609257184e+00
5.37031796370e+00 1.56323645724e+03 -3.64915664454e+00
5.49540873858e+00 1.56323605599e+03 -3.73415546411e+00
5.62341325190e+00 1.56323563583e+03 -3.82113409200e+00
5.75439937337e+00 1.56323519587e+03 -3.91013863899e+00
5.88843655356e+00 1.56323473517e+03 -4.00121628955e+00
6.02559586074e+00 1.56323425276e+03 -4.09441532682e+00
6.16595001861e+00 1.56323374761e+03 -4.18978515823e+00
6.30957344480e+00 1.56323321866e+03 -4.28737634160e+00
6.45654229035e+00 1.56323266478e+03 -4.38724061196e+00
6.60693448008e+00 1.56323208480e+03 -4.48943090888e+00
6.76082975392e+00 1.56323147748e+03 -4.59400140454e+00
6.91830970919e+00 1.56323084154e+03 -4.70100753236e+00
7.07945784384e+00 1.56323017563e+03 -4.81050601639e+00
7.24435960075e+00 1.56322947834e+03 -4.92255490129e+00
7.41310241301e+00 1.56322874819e+03 -5.03721358304e+00
7.58577575029e+00 1.56322798363e+03 -5.15454284040e+00
7.76247116629e+00 1.56322718303e+03 -5.27460486704e+00
7.94328234724e+00 1.56322634471e+03 -5.39746330444e+00
8.12830516164e+00 1.56322546687e+03 -5.52318327558e+00
8.31763771103e+00 1.56322454767e+03 -5.65183141932e+00
8.51138038202e+00 1.56322358515e+03 -5.78347592573e+00
8.70963589956e+00 1.56322257727e+03 -5.91818657206e+00
