# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
3.38844156139e+00 -3.31260826975e-01 1.81436696925e-03
3.46736850453e+00 -3.31260700931e-01 1.85662881498e-03
3.54813389234e+00 -3.31260568947e-01 1.89987505197e-03
3.63078054770e+00 -3.31260430743e-01 1.94412860865e-03
3.71535229097e+00 -3.31260286025e-01 1.98941294748e-03
3.80189396321e+00 -3.31260134487e-01 2.03575207735e-03
3.89045144994e+00 -3.31259975808e-01 2.08317056628e-03
3.98107170553e+00 -3.31259809650e-01 2.13169355452e-03
4.07380277804e+00 -3.31259635662e-01 2.18134676776e-03
4.16869383470e+00 -3.31259453473e-01 2.23215653087e-03
4.26579518802e+00 -3.31259262699e-01 2.28414978178e-03
4.36515832240e+00 -3.31259062933e-01 2.33735408577e-03
4.46683592151e+00 -3.31258853753e-01 2.39179765008e-03
4.57088189615e+00 -3.31258634715e-01 2.44750933884e-03
4.67735141287e+00 -3.31258405354e-01 2.50451868841e-03
4.78630092323e+00 -3.31258165184e-01 2.56285592294e-03
4.89778819368e+00 -3.31257913694e-01 2.62255197047e-03
5.01187233627e+00 -3.31257650353e-01 2.68363847926e-03
5.12861383991e+00 -3.31257374600e-01 2.74614783458e-03
5.24807460250e+00 -3.31257085852e-01 2.81011317583e-03
5.37031796370e+00 -3.31256783496e-01 2.87556841416e-03
5.49540873858e+00 -3.31256466891e-01 2.94254825034e-03
5.62341325190e+00 -3.31256135364e-01 3.01108819321e-03
5.75439937337e+00 -3.31255788213e-01 3.08122457845e-03
5.88843655356e+00 -3.31255424702e-01 3.15299458783e-03
6.02559586074e+00 -3.31255044059e-01 3.22643626891e-03
6.16595001861e+00 -3.31254645478e-01 3.30158855516e-03
6.30957344480e+00 -3.31254228112e-01 3.37849128659e-03
6.45654229035e+00 -3.31253791076e-01 3.45718523084e-03
6.60693448008e+00 -3.31253333445e-01 3.53771210476e-03
6.76082975392e+00 -3.31252854245e-01 3.62011459649e-03
6.91830970919e+00 -3.31252352462e-01 3.70443638804e-03
7.07945784384e+00 -3.31251827032e-01 3.79072217846e-03
7.24435960075e+00 -3.31251276840e-01 3.87901770743e-03
7.41310241301e+00 -3.31250700717e-01 3.96936977950e-03
7.58577575029e+00 -3.31250097444e-01 4.06182628885e-03
7.76247116629e+00 -3.31249465740e-01 4.15643624461e-03
7.94328234724e+00 -3.31248804265e-01 4.25324979682e-03
8.12830516164e+00 -3.31248111617e-01 4.35231826292e-03
8.31763771103e+00 -3.31247386326e-01 4.45369415492e-03
8.51138038202e+00 -3.31246626854e-01 4.55743120715e-03
8.70963589956e+00 -3.31245831590e-01 4.66358440467e-03
8.91250938134e+00 -3.31244998848e-01 4.77221001237e-03
9.12010839356e+00 -3.31244126861e-01 4.88336560466e-03
9.33254300797e+00 -3.31243213780e-01 4.99711009594e-03
9.54992586021e+00 -3.31242257668e-01 5.11350377173e-03
9.77237220956e+00 -3.31241256498e-01 5.23260832052e-03
1.00000000000e+01 -3.31240208145e-01 5.35448686632e-03
1.02329299228e+01 -3.31239110387e-01 5.47920400207e-03
1.04712854805e+01 -3.31237960895e-01 5.60682582370e-03
1.07151930524e+01 -3.31236757232e-01 5.73741996505e-03
1.09647819614e+01 -3.31235496845e-01 5.87105563357e-03
1.12201845430e+01 -3.31234177060e-01 6.00780364684e-03
1.14815362150e+01 -3.31232795079e-01 6.14773646994e-03
1.17489755494e+01 -3.31231347970e-01 6.29092825367e-03
1.20226443462e+01 -3.31229832665e-01 6.43745487370e-03
