# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
5.50000000000e-01 1.71983279664e+01 2.82867252166e-07 6.11043643550e-03 3.28796589531e-10 2.87397770884e-10 3.29761415217e-10 1.88774289603e+01 6.02782536061e-02
5.60000000000e-01 1.66876339964e+01 3.35079232623e-07 6.33401903307e-03 3.28809299325e-10 2.87687756706e-10 3.29774737170e-10 1.94688895989e+01 6.28119827989e-02
5.70000000000e-01 1.62214332958e+01 3.94996933423e-07 6.53048436139e-03 3.28821317933e-10 2.87982832602e-10 3.29788822572e-10 2.01012095428e+01 6.55534225323e-02
5.80000000000e-01 1.57921717341e+01 4.63551778454e-07 6.70305015853e-03 3.28832690050e-10 2.88283135473e-10 3.29803665647e-10 2.07739915095e+01 6.85082259475e-02
5.90000000000e-01 1.53922471832e+01 5.41757503133e-07 6.85478679376e-03 3.28843457080e-10 2.88588806489e-10 3.29819264944e-10 2.14866034117e+01 7.16817496544e-02
6.00000000000e-01 1.50144779115e+01 6.30703680893e-07 6.98851390094e-03 3.28853657404e-10 2.88899991171e-10 3.29835623145e-10 2.22381043371e+01 7.50787238659e-02
6.10000000000e-01 1.46524374471e+01 7.31545744787e-07 7.10675265672e-03 3.28863326624e-10 2.89216839476e-10 3.29852746809e-10 2.30271803576e+01 7.87029311399e-02
6.20000000000e-01 1.43006647262e+01 8.45491759848e-07 7.21171478300e-03 3.28872497782e-10 2.89539505861e-10 3.29870646082e-10 2.38520973321e+01 8.25569224866e-02
6.30000000000e-01 1.39547663236e+01 9.73786379352e-07 7.30531400787e-03 3.28881201570e-10 2.89868149341e-10 3.29889334427e-10 2.47106750918e+01 8.66417909960e-02
6.40000000000e-01 1.36114308796e+01 1.11769259209e-06 7.38918990538e-03 3.28889466510e-10 2.90202933530e-10 3.29908828360e-10 2.56002848819e+01 9.09570152911e-02
6.50000000000e-01 1.32683762757e+01 1.27847202059e-06 7.46473738277e-03 3.28897319126e-10 2.90544026656e-10 3.29929147233e-10 2.65178697570e+01 9.55003782227e-02
