# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
5.60000000000e-01 6.19256345822e+00 5.55554799898e-06 8.00486274999e-03 3.52428932377e-10 3.36703513530e-10 2.68602751909e-10 2.81209798048e+01 -2.78647616212e-01
5.70000000000e-01 5.99984550509e+00 5.90471113873e-06 8.03323207114e-03 3.52431214498e-10 3.36908466410e-10 2.68629201258e-10 2.81332795081e+01 -2.87703236988e-01
5.80000000000e-01 5.81708106685e+00 6.26405126389e-06 8.06019799943e-03 3.52433370455e-10 3.37114622719e-10 2.68656722878e-10 2.81399295736e+01 -2.96806946920e-01
5.90000000000e-01 5.64362063721e+00 6.63343753517e-06 8.08588609778e-03 3.52435408565e-10 3.37321988387e-10 2.68685361710e-10 2.81411071875e+01 -3.05956488345e-01
6.00000000000e-01 5.47886131562e+00 7.01274035978e-06 8.11040644340e-03 3.52437336517e-10 3.37530568886e-10 2.68715165032e-10 2.81369839896e+01 -3.15149866025e-01
6.10000000000e-01 5.32224349291e+00 7.40183175504e-06 8.13385584559e-03 3.52439161428e-10 3.37740369168e-10 2.68746182564e-10 2.81277252189e+01 -3.24385320346e-01
6.20000000000e-01 5.17324774758e+00 7.80058562509e-06 8.15631972674e-03 3.52440889885e-10 3.37951393601e-10 2.68778466568e-10 2.81134890474e+01 -3.33661302927e-01
6.30000000000e-01 5.03139193909e+00 8.20887796491e-06 8.17787371764e-03 3.52442527995e-10 3.38163645899e-10 2.68812071978e-10 2.80944260711e+01 -3.42976454500e-01
6.40000000000e-01 4.89622848751e+00 8.62658700418e-06 8.19858501135e-03 3.52444081419e-10 3.38377129039e-10 2.68847056526e-10 2.80706789273e+01 -3.52329584912e-01
6.50000000000e-01 4.76734183078e+00 9.05359330152e-06 8.21851351286e-03 3.52445555411e-10 3.38591845178e-10 2.68883480880e-10 2.80423820131e+01 -3.61719655084e-01
6.60000000000e-01 4.64434605170e+00 9.48977979842e-06 8.23771281631e-03 3.52446954848e-10 3.38807795549e-10 2.68921408802e-10 2.80096612833e+01 -3.71145760782e-01
6.70000000000e-01 4.52688266689e+00 9.93503184062e-06 8.25623103668e-03 3.52448284265e-10 3.39024980359e-10 2.68960907306e-10 2.79726341093e+01 -3.80607118035e-01
6.80000000000e-01 4.41461857017e+00 1.03892371735e-05 8.27411151849e-03 3.52449547876e-10 3.39243398664e-10 2.69002046834e-10 2.79314091828e+01 -3.90103050055e-01
6.90000000000e-01 4.30724412253e+00 1.08522859167e-05 8.29139344080e-03 3.52450749604e-10 3.39463048241e-10 2.69044901442e-10 2.78860864516e+01 -3.99632975525e-01
7.00000000000e-01 4.20447138072e+00 1.13240705237e-05 8.30811233449e-03 3.52451893101e-10 3.39683925434e-10 2.69089549001e-10 2.78367570759e+01 -4.09196398123e-01
7.10000000000e-01 4.10603245672e+00 1.18044857281e-05 8.32430052542e-03 3.52452981770e-10 3.39906024997e-10 2.69136071405e-10 2.77835033944e+01 -4.18792897162e-01
7.20000000000e-01 4.01167799994e+00 1.22934284824e-05 8.33998751484e-03 3.52454018784e-10 3.40129339909e-10 2.69184554804e-10 2.77263988941e+01 -4.28422119227e-01
7.30000000000e-01 3.92117579445e+00 1.27907978895e-05 8.35520030677e-03 3.52455007104e-10 3.40353861175e-10 2.69235089839e-10 2.76655081756e+01 -4.38083770727e-01
7.40000000000e-01 3.83430946349e+00 1.32964951305e-05 8.36996369024e-03 3.52455949492e-10 3.40579577603e-10 2.69287771906e-10 2.76008869074e+01 -4.47777611245e-01
7.50000000000e-01 3.75087727397e+00 1.38104233898e-05 8.38430048336e-03 3.52456848531e-10 3.40806475557e-10 2.69342701424e-10 2.75325817665e+01 -4.57503447630e-01
7.60000000000e-01 3.67069103366e+00 1.43324877793e-05 8.39823174477e-03 3.52457706634e-10 3.41034538688e-10 2.69399984133e-10 2.74606303575e+01 -4.67261128724e-01
7.70000000000e-01 3.59357507449e+00 1.48625952621e-05 8.41177695746e-03 3.52458526057e-10 3.41263747630e-10 2.69459731404e-10 2.73850611096e+01 -4.77050540685e-01
7.80000000000e-01 3.51936531526e+00 1.54006545769e-05 8.42495418894e-03 3.52459308915e-10 3.41494079668e-10 2.69522060570e-10 2.73058931461e+01 -4.86871602823e-01
7.90000000000e-01 3.44790839796e+00 1.59465761639e-05 8.43778023113e-03 3.52460057184e-10 3.41725508372e-10 2.69587095282e-10 2.72231361238e+01 -4.96724263901e-01
8.00000000000e-01 3.37906089183e+00 1.65002720918e-05 8.45027072300e-03 3.52460772718e-10 3.41958003193e-10 2.69654965884e-10 2.71367900401e+01 -5.06608498857e-01
8.10000000000e-01 3.31268855984e+00 1.70616559872e-05 8.46244025828e-03 3.52461457257e-10 3.42191529016e-10 2.69725809820e-10 2.70468450041e+01 -5.16524305888e-01
8.20000000000e-01 3.24866568274e+00 1.76306429649e-05 8.47430248044e-03 3.52462112430e-10 3.42426045676e-10 2.69799772060e-10 2.69532809714e+01 -5.26471703869e-01
8.30000000000e-01 3.18687443600e+00 1.82071495616e-05 8.48587016655e-03 3.52462739768e-10 3.42661507419e-10 2.69877005558e-10 2.68560674380e+01 -5.36450730066e-01
8.40000000000e-01 3.12720431535e+00 1.87910936704e-05 8.49715530168e-03 3.52463340708e-10 3.42897862319e-10 2.69957671743e-10 2.67551630937e+01 -5.46461438103e-01
8.50000000000e-01 3.06955160700e+00 1.93823944772e-05 8.50816914494e-03 3.52463916603e-10 3.43135051645e-10 2.70041941039e-10 2.66505154315e+01 -5.56503896171e-01
8.60000000000e-01 3.01381889892e+00 1.99809723990e-05 8.51892228839e-03 3.52464468720e-10 3.43373009165e-10 2.70129993424e-10 2.65420603127e+01 -5.66578185435e-01
8.70000000000e-01 2.95991462977e+00 2.05867490229e-05 8.52942470963e-03 3.52464998257e-10 3.43611660402e-10 2.70222019019e-10 2.64297214868e+01 -5.76684398636e-01
8.80000000000e-01 2.90775267233e+00 2.11996470470e-05 8.53968581898e-03 3.52465506337e-10 3.43850921833e-10 2.70318218733e-10 2.63134100636e+01 -5.86822638837e-01
8.90000000000e-01 2.85725194874e+00 2.18195902208e-05 8.54971450174e-03 3.52465994020e-10 3.44090700034e-10 2.70418804933e-10 2.61930239400e+01 -5.96993018337e-01
9.00000000000e-01 2.80833607467e+00 2.24465032866e-05 8.55951915632e-03 3.52466462304e-10 3.44330890767e-10 2.70524002171e-10 2.60684471796e+01 -6.07195657692e-01
9.10000000000e-01 2.76093303020e+00 2.30803119207e-05 8.56910772863e-03 3.52466912130e-10 3.44571378031e-10 2.70634047964e-10 2.59395493476e+01 -6.17430684865e-01
9.20000000000e-01 2.71497485514e+00 2.37209426737e-05 8.57848774308e-03 3.52467344385e-10 3.44812033064e-10 2.70749193616e-10 2.58061848025e+01 -6.27698234467e-01
9.30000000000e-01 2.67039736658e+00 2.43683229097e-05 8.58766633079e-03 3.52467759908e-10 3.45052713330e-10 2.70869705109e-10 2.56681919494e+01 -6.37998447096e-01
