# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
9.60000000000e-01 3.25561863732e+00 1.58349223667e-05 8.58224972814e-03 3.49469675382e-10 3.48410511145e-10 2.89934172640e-10 3.09163211556e+01 -5.11192240056e-01
9.70000000000e-01 3.19400238484e+00 1.63538621579e-05 8.59413003657e-03 3.49469728150e-10 3.48450194001e-10 2.90024497125e-10 3.06773693692e+01 -5.20630054386e-01
9.80000000000e-01 3.13448001035e+00 1.68795830924e-05 8.60574905343e-03 3.49469778958e-10 3.48489576976e-10 2.90118718248e-10 3.04360635479e+01 -5.30097049558e-01
9.90000000000e-01 3.07695047577e+00 1.74120120571e-05 8.61711702179e-03 3.49469827898e-10 3.48528622813e-10 2.90217023317e-10 3.01925466648e+01 -5.39593316930e-01
1.00000000000e+00 3.02131880705e+00 1.79510769888e-05 8.62824358822e-03 3.49469875052e-10 3.48567291595e-10 2.90319609812e-10 2.99469472006e+01 -5.49118959117e-01
1.01000000000e+00 2.96749567052e+00 1.84967068309e-05 8.63913784830e-03 3.49469920501e-10 3.48605540755e-10 2.90426686006e-10 2.96993798525e+01 -5.58674088698e-01
1.02000000000e+00 2.91539698155e+00 1.90488314900e-05 8.64980838763e-03 3.49469964320e-10 3.48643325138e-10 2.90538471610e-10 2.94499461671e+01 -5.68258827077e-01
1.03000000000e+00 2.86494354267e+00 1.96073817949e-05 8.66026331867e-03 3.49470006580e-10 3.48680597135e-10 2.90655198477e-10 2.91987351036e+01 -5.77873303471e-01
1.04000000000e+00 2.81606070894e+00 2.01722894563e-05 8.67051031408e-03 3.49470047350e-10 3.48717306884e-10 2.90777111342e-10 2.89458235274e+01 -5.87517654010e-01
1.05000000000e+00 2.76867807817e+00 2.07434870276e-05 8.68055663684e-03 3.49470086693e-10 3.48753402557e-10 2.90904468614e-10 2.86912766381e+01 -5.97192020946e-01
1.06000000000e+00 2.72272920429e+00 2.13209078659e-05 8.69040916754e-03 3.49470124672e-10 3.48788830746e-10 2.91037543223e-10 2.84351483324e+01 -6.06896551953e-01
1.07000000000e+00 2.67815133166e+00 2.19044860945e-05 8.70007442926e-03 3.49470161343e-10 3.48823536935e-10 2.91176623525e-10 2.81774815052e+01 -6.16631399509e-01
1.08000000000e+00 2.63488514883e+00 2.24941565653e-05 8.70955861011e-03 3.49470196763e-10 3.48857466083e-10 2.91322014263e-10 2.79183082870e+01 -6.26396720349e-01
1.09000000000e+00 2.59287456020e+00 2.30898548214e-05 8.71886758377e-03 3.49470230983e-10 3.48890563297e-10 2.91474037597e-10 2.76576502218e+01 -6.36192674985e-01
1.10000000000e+00 2.55206647393e+00 2.36915170596e-05 8.72800692830e-03 3.49470264054e-10 3.48922774600e-10 2.91633034201e-10 2.73955183816e+01 -6.46019427286e-01
1.11000000000e+00 2.51241060502e+00 2.42990800931e-05 8.73698194323e-03 3.49470296023e-10 3.48954047768e-10 2.91799364443e-10 2.71319134203e+01 -6.55877144104e-01
1.12000000000e+00 2.47385929213e+00 2.49124813134e-05 8.74579766522e-03 3.49470326934e-10 3.48984333221e-10 2.91973409631e-10 2.68668255646e+01 -6.65765994950e-01
1.13000000000e+00 2.43636732709e+00 2.55316586509e-05 8.75445888234e-03 3.49470356832e-10 3.49013584946e-10 2.92155573358e-10 2.66002345402e+01 -6.75686151710e-01
1.14000000000e+00 2.39989179613e+00 2.61565505352e-05 8.76297014718e-03 3.49470385756e-10 3.49041761409e-10 2.92346282934e-10 2.63321094332e+01 -6.85637788396e-01
1.15000000000e+00 2.36439193159e+00 2.67870958532e-05 8.77133578877e-03 3.49470413745e-10 3.49068826421e-10 2.92545990913e-10 2.60624084821e+01 -6.95621080925e-01
1.16000000000e+00 2.32982897358e+00 2.74232339064e-05 8.77955992351e-03 3.49470440838e-10 3.49094749929e-10 2.92755176735e-10 2.57910787999e+01 -7.05636206937e-01
1.17000000000e+00 2.29616604036e+00 2.80649043643e-05 8.78764646512e-03 3.49470467068e-10 3.49119508682e-10 2.92974348470e-10 2.55180560222e+01 -7.15683345625e-01
1.18000000000e+00 2.26336800695e+00 2.87120472171e-05 8.79559913372e-03 3.49470492470e-10 3.49143086753e-10 2.93204044692e-10 2.52432638771e+01 -7.25762677598e-01
1.19000000000e+00 2.23140139102e+00 2.93646027234e-05 8.80342146406e-03 3.49470517076e-10 3.49165475871e-10 2.93444836480e-10 2.49666136750e+01 -7.35874384757e-01
1.20000000000e+00 2.20023424551e+00 3.00225113558e-05 8.81111681305e-03 3.49470540917e-10 3.49186675568e-10 2.93697329557e-10 2.46880037133e+01 -7.46018650189e-01
