# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
2.30000000000e-01 2.85585865586e+01 1.34836131762e-11 2.01532842458e-04 3.57125570636e-10 3.09492364445e-10 3.15485204234e-10 4.29522295524e+01 -3.91925641860e-02
2.40000000000e-01 2.90997533780e+01 1.79350801390e-11 2.06389552894e-04 3.57202726423e-10 3.09741405708e-10 3.15485288379e-10 4.21027810485e+01 -3.91938362442e-02
2.50000000000e-01 2.94743422662e+01 2.39869276591e-11 2.12088583968e-04 3.57274027713e-10 3.09993068981e-10 3.15485387232e-10 4.15127689574e+01 -3.91955597384e-02
2.60000000000e-01 2.97246677203e+01 3.22016087433e-11 2.18738477959e-04 3.57339944511e-10 3.10247399355e-10 3.15485503170e-10 4.11030700103e+01 -3.91978935420e-02
2.70000000000e-01 2.98831592493e+01 4.33373594275e-11 2.26471680873e-04 3.57400911001e-10 3.10504442949e-10 3.15485638956e-10 4.08188124906e+01 -3.92010517265e-02
2.80000000000e-01 2.99737335558e+01 5.84150615755e-11 2.35452777029e-04 3.57457327494e-10 3.10764246934e-10 3.15485797827e-10 4.06219669600e+01 -3.92053223409e-02
2.90000000000e-01 3.00134995610e+01 7.88072522085e-11 2.45888672841e-04 3.57509562462e-10 3.11026859565e-10 3.15485983585e-10 4.04862125223e+01 -3.92110923529e-02
3.00000000000e-01 3.00143537557e+01 1.06356238790e-10 2.58040988568e-04 3.57557954599e-10 3.11292330206e-10 3.15486200730e-10 4.03933828374e+01 -3.92188806375e-02
3.10000000000e-01 2.99843044353e+01 1.43530264668e-10 2.72240981985e-04 3.57602814869e-10 3.11560709354e-10 3.15486454608e-10 4.03310098896e+01 -3.92293814000e-02
3.20000000000e-01 2.99285035022e+01 1.93629114031e-10 2.88907373198e-04 3.57644428518e-10 3.11832048673e-10 3.15486751601e-10 4.02906318472e+01 -3.92435209996e-02
3.30000000000e-01 2.98500229220e+01 2.61053504649e-10 3.08567421533e-04 3.57683057003e-10 3.12106401019e-10 3.15487099353e-10 4.02666342824e+01 -3.92625317837e-02
3.40000000000e-01 2.97504299115e+01 3.51656122080e-10 3.31881469545e-04 3.57718939845e-10 3.12383820469e-10 3.15487507039e-10 4.02554654407e+01 -3.92880472021e-02
3.50000000000e-01 2.96302135429e+01 4.73196197471e-10 3.59670851715e-04 3.57752296378e-10 3.12664362351e-10 3.15487985681e-10 4.02551157495e+01 -3.93222230491e-02
3.60000000000e-01 2.94891072383e+01 6.35924066907e-10 3.92948490940e-04 3.57783327396e-10 3.12948083274e-10 3.15488548525e-10 4.02647859072e+01 -3.93678900152e-02
3.70000000000e-01 2.93263416625e+01 8.53327048509e-10 4.32950590433e-04 3.57812216695e-10 3.13235041155e-10 3.15489211464e-10 4.02846911868e+01 -3.94287425558e-02
3.80000000000e-01 2.91408525125e+01 1.14307302684e-09 4.81166492224e-04 3.57839132502e-10 3.13525295250e-10 3.15489993520e-10 4.03159649609e+01 -3.95095680103e-02
3.90000000000e-01 2.89314577331e+01 1.52819303916e-09 5.39361971839e-04 3.57864228804e-10 3.13818906183e-10 3.15490917366e-10 4.03606338220e+01 -3.96165173994e-02
4.00000000000e-01 2.86970083121e+01 2.03854848345e-09 6.09589023254e-04 3.57887646574e-10 3.14115935975e-10 3.15492009868e-10 4.04216411557e+01 -3.97574147167e-02
4.10000000000e-01 2.84365057497e+01 2.71263165556e-09 6.94172800284e-04 3.57909514898e-10 3.14416448074e-10 3.15493302631e-10 4.05028963163e+01 -3.99420941156e-02
4.20000000000e-01 2.81491682130e+01 3.59974902192e-09 7.95664368952e-04 3.57929952012e-10 3.14720507382e-10 3.15494832476e-10 4.06093231830e+01 -4.01827436056e-02
4.30000000000e-01 2.78344186610e+01 4.76263272761e-09 9.16747242535e-04 3.57949066252e-10 3.15028180282e-10 3.15496641803e-10 4.07468756924e+01 -4.04942196911e-02
4.40000000000e-01 2.74917666193e+01 6.28051305669e-09 1.06008764848e-03 3.57966956919e-10 3.15339534666e-10 3.15498778745e-10 4.09224805913e+01 -4.08942808540e-02
4.50000000000e-01 2.71205676109e+01 8.25265532559e-09 1.22812454079e-03 3.57983715077e-10 3.15654639960e-10 3.15501297035e-10 4.11438622131e+01 -4.14036716547e-02
4.60000000000e-01 2.67196770751e+01 1.08023074087e-08 1.42280639185e-03 3.57999424274e-10 3.15973567147e-10 3.15504255477e-10 4.14192052595e+01 -4.20459784867e-02
4.70000000000e-01 2.62870698704e+01 1.40809047968e-08 1.64529713590e-03 3.58014161204e-10 3.16296388791e-10 3.15507716980e-10 4.17566252490e+01 -4.28471796679e-02
4.80000000000e-01 2.58195601216e+01 1.82722290016e-08 1.89569029940e-03 3.58027996306e-10 3.16623179055e-10 3.15511747110e-10 4.21634474253e+01 -4.38348342211e-02
4.90000000000e-01 2.53127996392e+01 2.35960197188e-08 2.17278295703e-03 3.58040994313e-10 3.16954013721e-10 3.15516412226e-10 4.26453439738e+01 -4.50369005209e-02
5.00000000000e-01 2.47617155868e+01 3.03103425475e-08 2.47396334254e-03 3.58053214748e-10 3.17288970199e-10 3.15521777323e-10 4.32054381550e+01 -4.64802463177e-02
5.10000000000e-01 2.41614404567e+01 3.87118954142e-08 2.79525322896e-03 3.58064712378e-10 3.17628127544e-10 3.15527903768e-10 4.38435338753e+01 -4.81889933782e-02
5.20000000000e-01 2.35086038311e+01 4.91335069636e-08 3.13151897367e-03 3.58075537629e-10 3.17971566459e-10 3.15534847188e-10 4.45556457169e+01 -5.01829104513e-02
5.30000000000e-01 2.28026677595e+01 6.19384223859e-08 3.47682997108e-03 3.58085736953e-10 3.18319369295e-10 3.15542655738e-10 4.53339684630e+01 -5.24761003046e-02
5.40000000000e-01 2.20468977246e+01 7.75115745070e-08 3.82491101300e-03 3.58095353177e-10 3.18671620051e-10 3.15551368943e-10 4.61673367560e+01 -5.50761999363e-02
5.50000000000e-01 2.12486366173e+01 9.62487513741e-08 4.16961629567e-03 3.58104425806e-10 3.19028404357e-10 3.15561017230e-10 4.70421101370e+01 -5.79842262388e-02
5.60000000000e-01 2.04187692123e+01 1.18545144572e-07 4.50535306243e-03 3.58112991309e-10 3.19389809461e-10 3.15571622133e-10 4.79433180826e+01 -6.11950741914e-02
5.70000000000e-01 1.95705263334e+01 1.44784956085e-07 4.82740042434e-03 3.58121083375e-10 3.19755924197e-10 3.15583197105e-10 4.88558510038e+01 -6.46985490212e-02
5.80000000000e-01 1.87179614189e+01 1.75333459907e-07 5.13209628824e-03 3.58128733144e-10 3.20126838947e-10 3.15595748754e-10 4.97654998292e+01 -6.84807255470e-02
5.90000000000e-01 1.78744726326e+01 2.10532262690e-07 5.41689321121e-03 3.58135969422e-10 3.20502645595e-10 3.15609278347e-10 5.06597136558e+01 -7.25253988232e-02
6.00000000000e-01 1.70516559392e+01 2.50697733560e-07 5.68030509505e-03 3.58142818870e-10 3.20883437460e-10 3.15623783388e-10 5.15280301938e+01 -7.68154188291e-02
6.10000000000e-01 1.62586249213e+01 2.96121939143e-07 5.92177768397e-03 3.58149306188e-10 3.21269309217e-10 3.15639259141e-10 5.23622068040e+01 -8.13337685251e-02
6.20000000000e-01 1.55017914252e+01 3.47075086286e-07 6.14151742409e-03 3.58155454266e-10 3.21660356804e-10 3.15655699991e-10 5.31561238710e+01 -8.60643225915e-02
6.30000000000e-01 1.47850087636e+01 4.03808460884e-07 6.34030826832e-03 3.58161284340e-10 3.22056677304e-10 3.15673100586e-10 5.39055456070e+01 -9.09922915026e-02
6.40000000000e-01 1.41099438935e+01 4.66557067912e-07 6.51933788898e-03 3.58166816116e-10 3.22458368807e-10 3.15691456749e-10 5.46078145875e+01 -9.61044004605e-02
6.50000000000e-01 1.34765527815e+01 5.35541496706e-07 6.68004627947e-03 3.58172067901e-10 3.22865530242e-10 3.15710766165e-10 5.52615366324e+01 -1.01388873424e-01
6.60000000000e-01 1.28835635328e+01 6.10968845877e-07 6.82400257203e-03 3.58177056708e-10 3.23278261189e-10 3.15731028866e-10 5.58662911645e+01 -1.06835293955e-01
6.70000000000e-01 1.23289076826e+01 6.93032778083e-07 6.95281074519e-03 3.58181798360e-10 3.23696661647e-10 3.15752247546e-10 5.64223841943e+01 -1.12434404188e-01
6.80000000000e-01 1.18100710790e+01 7.81912915133e-07 7.06804171591e-03 3.58186307583e-10 3.24120831770e-10 3.15774427747e-10 5.69306484710e+01 -1.18177887679e-01
6.90000000000e-01 1.13243580229e+01 8.77773838146e-07 7.17118773211e-03 3.58190598090e-10 3.24550871564e-10 3.15797577941e-10 5.73922878542e+01 -1.24058166062e-01
7.00000000000e-01 1.08690757373e+01 9.80763949455e-07 7.26363452089e-03 3.58194682661e-10 3.24986880526e-10 3.15821709548e-10 5.78087594094e+01 -1.30068225959e-01
7.10000000000e-01 1.04416526734e+01 1.09101440847e-06 7.34664687019e-03 3.58198573214e-10 3.25428957236e-10 3.15846836899e-10 5.81816857423e+01 -1.36201482593e-01
7.20000000000e-01 1.00397058854e+01 1.20863829398e-06 7.42136389363e-03 3.58202280866e-10 3.25877198892e-10 3.15872977170e-10 5.85127905459e+01 -1.42451679821e-01
7.30000000000e-01 9.66107170941e+00 1.33373008503e-06 7.48880092388e-03 3.58205816000e-10 3.26331700762e-10 3.15900150305e-10 5.88038514408e+01 -1.48812822481e-01
7.40000000000e-01 9.30381170208e+00 1.46636550019e-06 7.54985566574e-03 3.58209188314e-10 3.26792555575e-10 3.15928378934e-10 5.90566654499e+01 -1.55279135140e-01
7.50000000000e-01 8.96620315697e+00 1.60660169384e-06 7.60531684601e-03 3.58212406876e-10 3.27259852815e-10 3.15957688290e-10 5.92730236213e+01 -1.61845040921e-01
7.60000000000e-01 8.64672102903e+00 1.75447777976e-06 7.65587409862e-03 3.58215480166e-10 3.27733677920e-10 3.15988106134e-10 5.94546922758e+01 -1.68505154541e-01
7.70000000000e-01 8.34401599749e+00 1.91001563407e-06 7.70212821718e-03 3.58218416123e-10 3.28214111379e-10 3.16019662694e-10 5.96033991005e+01 -1.75254284540e-01
7.80000000000e-01 8.05689174841e+00 2.07322092112e-06 7.74460120603e-03 3.58221222181e-10 3.28701227700e-10 3.16052390614e-10 5.97208228483e+01 -1.82087440687e-01
7.90000000000e-01 7.78428333674e+00 2.24408428365e-06 7.78374577857e-03 3.58223905305e-10 3.29195094250e-10 3.16086324912e-10 5.98085857868e+01 -1.88999843558e-01
8.00000000000e-01 7.52523762683e+00 2.42258264141e-06 7.81995410741e-03 3.58226472028e-10 3.29695769942e-10 3.16121502965e-10 5.98682482909e+01 -1.95986934150e-01
8.10000000000e-01 7.27889623468e+00 2.60868054783e-06 7.85356573704e-03 3.58228928477e-10 3.30203303768e-10 3.16157964488e-10 5.99013051496e+01 -2.03044382122e-01
8.20000000000e-01 7.04448103163e+00 2.80233156189e-06 7.88487464067e-03 3.58231280405e-10 3.30717733138e-10 3.16195751545e-10 5.99091832629e+01 -2.10168091859e-01
8.30000000000e-01 6.82128205737e+00 3.00347959978e-06 7.91413544737e-03 3.58233533214e-10 3.31239082039e-10 3.16234908559e-10 5.98932404790e+01 -2.17354205951e-01
8.40000000000e-01 6.60864758129e+00 3.21206023893e-06 7.94156889248e-03 3.58235691981e-10 3.31767358966e-10 3.16275482344e-10 5.98547653710e+01 -2.24599106018e-01
8.50000000000e-01 6.40597600965e+00 3.42800195404e-06 7.96736655759e-03 3.58237761480e-10 3.32302554633e-10 3.16317522140e-10 5.97949777801e+01 -2.31899411009e-01
8.60000000000e-01 6.21270933540e+00 3.65122727076e-06 7.99169497242e-03 3.58239746201e-10 3.32844639435e-10 3.16361079667e-10 5.97150299832e+01 -2.39251973218e-01
8.70000000000e-01 6.02832784976e+00 3.88165382835e-06 8.01469915056e-03 3.58241650372e-10 3.33393560643e-10 3.16406209182e-10 5.96160083562e+01 -2.46653872347e-01
8.80000000000e-01 5.85234586855e+00 4.11919534689e-06 8.03650562826e-03 3.58243477973e-10 3.33949239334e-10 3.16452967554e-10 5.94989354241e+01 -2.54102407961e-01
8.90000000000e-01 5.68430826307e+00 4.36376249789e-06 8.05722506997e-03 3.58245232755e-10 3.34511567034e-10 3.16501414343e-10 5.93647722020e+01 -2.61595090693e-01
9.00000000000e-01 5.52378762222e+00 4.61526368017e-06 8.07695449877e-03 3.58246918254e-10 3.35080402075e-10 3.16551611892e-10 5.92144207448e+01 -2.69129632501e-01
9.10000000000e-01 5.37038190520e+00 4.87360570462e-06 8.09577920329e-03 3.58248537806e-10 3.35655565667e-10 3.16603625427e-10 5.90487268345e+01 -2.76703936294e-01
9.20000000000e-01 5.22371247339e+00 5.13869439276e-06 8.11377436688e-03 3.58250094557e-10 3.36236837707e-10 3.16657523165e-10 5.88684827484e+01 -2.84316085174e-01
9.30000000000e-01 5.08342241403e+00 5.41043509528e-06 8.13100645882e-03 3.58251591480e-10 3.36823952335e-10 3.16713376438e-10 5.86744300554e+01 -2.91964331509e-01
9.40000000000e-01 4.94917508832e+00 5.68873313664e-06 8.14753442227e-03 3.58253031380e-10 3.37416593291e-10 3.16771259818e-10 5.84672624044e+01 -2.99647086026e-01
9.50000000000e-01 4.82065285261e+00 5.97349419277e-06 8.16341068876e-03 3.58254416910e-10 3.38014389121e-10 3.16831251257e-10 5.82476282693e+01 -3.07362907061e-01
9.60000000000e-01 4.69755591394e+00 6.26462460807e-06 8.17868204507e-03 3.58255750578e-10 3.38616908317e-10 3.16893432235e-10 5.80161336278e+01 -3.15110490092e-01
9.70000000000e-01 4.57960129096e+00 6.56203165855e-06 8.19339037423e-03 3.58257034757e-10 3.39223654497e-10 3.16957887919e-10 5.77733445535e+01 -3.22888657628e-01
9.80000000000e-01 4.46652185892e+00 6.86562376691e-06 8.20757328968e-03 3.58258271691e-10 3.39834061752e-10 3.17024707334e-10 5.75197897076e+01 -3.30696349540e-01
9.90000000000e-01 4.35806546317e+00 7.17531067547e-06 8.22126467842e-03 3.58259463505e-10 3.40447490340e-10 3.17093983537e-10 5.72559627212e+01 -3.38532613852e-01
1.00000000000e+00 4.25399408953e+00 7.49100358231e-06 8.23449516686e-03 3.58260612213e-10 3.41063222913e-10 3.17165813814e-10 5.69823244602e+01 -3.46396598037e-01
1.01000000000e+00 4.15408308361e+00 7.81261524529e-06 8.24729252083e-03 3.58261719722e-10 3.41680461512e-10 3.17240299880e-10 5.66993051708e+01 -3.54287540835e-01
1.02000000000e+00 4.05812041295e+00 8.14006005867e-06 8.25968198974e-03 3.58262787842e-10 3.42298325603e-10 3.17317548093e-10 5.64073065041e+01 -3.62204764579e-01
1.03000000000e+00 3.96590596763e+00 8.47325410605e-06 8.27168660302e-03 3.58263818286e-10 3.42915851429e-10 3.17397669682e-10 5.61067034202e+01 -3.70147668040e-01
1.04000000000e+00 3.87725089647e+00 8.81211519332e-06 8.28332742601e-03 3.58264812683e-10 3.43531992999e-10 3.17480780990e-10 5.57978459746e+01 -3.78115719779e-01
1.05000000000e+00 3.79197697619e+00 9.15656286474e-06 8.29462378130e-03 3.58265772578e-10 3.44145625007e-10 3.17567003727e-10 5.54810609890e+01 -3.86108451974e-01
1.06000000000e+00 3.70991601191e+00 9.50651840498e-06 8.30559344047e-03 3.58266699438e-10 3.44755547979e-10 3.17656465238e-10 5.51566536117e+01 -3.94125454727e-01
1.07000000000e+00 3.63090926757e+00 9.86190482941e-06 8.31625279073e-03 3.58267594655e-10 3.45360495905e-10 3.17749298794e-10 5.48249087720e+01 -4.02166370800e-01
