# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
1.30000000000e-01 3.16202639251e+01 5.51968188626e-10 2.03917641364e-04 3.09781887631e-10 3.07258428261e-10 2.97324540774e-10 4.40430929840e+00 4.33516254997e-02
1.40000000000e-01 3.15380989917e+01 7.56937034601e-10 2.12861006050e-04 3.09786373888e-10 3.07280855655e-10 2.97324616924e-10 4.40411634026e+00 4.33635322026e-02
1.50000000000e-01 3.14386039969e+01 1.03708290196e-09 2.27085431905e-04 3.09790506496e-10 3.07303320346e-10 2.97324714407e-10 4.40454055323e+00 4.33797980317e-02
1.60000000000e-01 3.13197436273e+01 1.41936871868e-09 2.48657235015e-04 3.09794311422e-10 3.07325822403e-10 2.97324842982e-10 4.40560632266e+00 4.34019797466e-02
1.70000000000e-01 3.11789308077e+01 1.94005984831e-09 2.80179212943e-04 3.09797813395e-10 3.07348361890e-10 2.97325015744e-10 4.40740126885e+00 4.34321654863e-02
1.80000000000e-01 3.10130742077e+01 2.64771373132e-09 3.24813067026e-04 3.09801035818e-10 3.07370938870e-10 2.97325249850e-10 4.41008081837e+00 4.34731407224e-02
1.90000000000e-01 3.08186322967e+01 3.60700244658e-09 3.86219779645e-04 3.09804000714e-10 3.07393553405e-10 2.97325567217e-10 4.41387784381e+00 4.35285964274e-02
2.00000000000e-01 3.05916863926e+01 4.90352826301e-09 4.68373318891e-04 3.09806728710e-10 3.07416205554e-10 2.97325995038e-10 4.41911706691e+00 4.36033841940e-02
2.10000000000e-01 3.03280439400e+01 6.64978300178e-09 5.75218729089e-04 3.09809239041e-10 3.07438895373e-10 2.97326565963e-10 4.42623381603e+00 4.37038195071e-02
2.20000000000e-01 3.00233805919e+01 8.99236632108e-09 7.10192640191e-04 3.09811549580e-10 3.07461622916e-10 2.97327317782e-10 4.43579633887e+00 4.38380277288e-02
2.30000000000e-01 2.96734246800e+01 1.21205044230e-08 8.75694784384e-04 3.09813676877e-10 3.07484388233e-10 2.97328292535e-10 4.44853012860e+00 4.40163165388e-02
2.40000000000e-01 2.92741798848e+01 1.62757878523e-08 1.07265503256e-03 3.09815636215e-10 3.07507191373e-10 2.97329535147e-10 4.46534158572e+00 4.42515428502e-02
2.50000000000e-01 2.88221720620e+01 2.17628666209e-08 1.30033161068e-03 3.09817441674e-10 3.07530032379e-10 2.97331091812e-10 4.48733684960e+00 4.45594219697e-02
2.60000000000e-01 2.83146969221e+01 2.89606010440e-08 1.55639039720e-03 3.09819106195e-10 3.07552911293e-10 2.97333008392e-10 4.51582999982e+00 4.49587044695e-02
